rank,title,releasedOn,studio,genre,rating,revenue,tickets
276,Midnight in Paris,5/20/11,Sony Pictures Classics,Romantic Comedy,PG-13,424714,53356
277,Seeking Justice,3/16/12,Anchor Bay Entertainment,Action,R,411746,51726
278,Sound of My Voice,4/27/12,Fox Searchlight,Thriller/Suspense,R,408015,51258
279,Khiladi 786,12/7/12,Eros Entertainment,,Not Rated,383977,48238
280,Detropia,9/7/12,Loki Films,Documentary,Not Rated,377219,47389
281,Smashed,10/12/12,Sony Pictures Classics,Drama,R,372537,46801
282,Bully,7/13/01,Lionsgate,Drama,R,371732,46700
283,Piranha 3DD,6/1/12,Weinstein Co.,Horror,R,370904,46595
284,Courageous,9/30/11,Sony Pictures,Drama,PG-13,369373,46403
285,The Oranges,10/5/12,ATO Pictures,Comedy,R,364875,45838
286,Branded,9/7/12,Roadside Attractions,Thriller/Suspense,R,353513,44411
287,Promised Land,12/28/12,Focus Features,Drama,R,345528,43408
288,Red Hook Summer,8/10/12,Variance/40 Acres & a Mule Filmworks,Drama,R,338803,42563
289,A Werewolf Boy,11/30/12,CJ Entertainment,Drama,Not Rated,336401,42261
290,Student of the Year,10/19/12,Eros Entertainment,Romantic Comedy,Not Rated,326508,41018
291,Compliance,8/17/12,Magnolia Pictures,Drama,R,319285,40111
292,Liberal Arts,9/14/12,IFC Films,Comedy,PG-13,319176,40097
293,The Flowers of War,1/20/12,Wrekin Hill Entertainment,Drama,R,311434,39124
294,Whores' Glory,4/27/12,Kino Lorber,Documentary,Not Rated,306151,38461
295,Stolen,9/14/12,Millennium Entertainment,Action,R,289773,36403
296,Something From Nothing: The Art of Rap,6/15/12,Indomina Releasing,Documentary,R,288738,36273
297,A Cat in Paris,2/24/12,Mongrel Media,Adventure,PG,287709,36144
298,Don 2,12/22/11,Reliance Big Pictures,Action,Not Rated,258949,32531
299,The Central Park Five,11/23/12,IFC Films,Documentary,Not Rated,257312,32325
300,Boy,3/2/12,Paladin,Drama,Not Rated,256211,32187
301,Chicken with Plums,8/17/12,Sony Pictures Classics,Drama,PG-13,253705,31872
302,Lola Versus,6/8/12,Fox Searchlight,Comedy,R,252603,31734
303,Amour,12/19/12,Sony Pictures Classics,Drama,PG-13,251415,31584
304,In The Land of Blood and Honey,12/23/11,FilmDistrict,Drama,R,245485,30839
305,Stories We Tell,10/12/12,Mongrel Media,Documentary,PG-13,241031,30280
306,Trishna,7/13/12,IFC Films,Drama,R,240381,30198
307,Middle of Nowhere,10/12/12,AFFRM,Drama,R,236806,29749
308,My Uncle Rafael,9/21/12,Slater Brothers Entertainment,Comedy,PG-13,234830,29501
309,The Way,10/7/11,Producers Distribution Agency,Drama,PG-13,219518,27577
